 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-040,1989,8.0,2,0,0,12,5,1,0,17,7,0,0,1,42,15,14,51.7,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-017,1991,15.6,4,0,0,40,19,0,3,26,29,0,1,0,186,26,18,59.1,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29-362,1991,21.8,9,0,0,42,37,0,5,25,36,0,0,0,268,53,53,50.0,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-123,1996,11.4,1,0,0,18,4,0,1,12,10,0,0,0,112,27,26,50.9,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-057,1989,19.9,2,0,0,16,3,0,1,5,15,0,0,1,167,47,33,58.8,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-077,1995,6.6,4,0,0,20,19,4,35,2,9,0,0,0,36,14,8,63.6,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-113,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-113,1998,12.1,1,0,0,16,20,0,18,6,5,0,0,0,91,12,33,26.7,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-069,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-203,1998,28.7,1,0,0,15,9,3,151,32,34,0,1,0,297,8,26,23.5,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21-359,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-099,2004,3.3,1,0,0,7,6,0,6,3,8,0,0,0,18,5,8,38.5,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-075,1992,22.8,7,0,0,34,31,5,49,29,33,0,1,0,214,37,36,50.7,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-314,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-208,1992,28.0,1,0,0,1,2,0,0,0,0,0,1,0,148,0,1,0.0,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-157,1993,8.0,2,0,0,2,1,0,0,0,0,0,1,0,50,0,0,,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-110,1991,16.8,5,0,0,24,20,0,2,16,38,0,0,0,175,1,10,9.1,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-017,1996,2.7,0,0,0,3,5,0,4,4,3,0,0,0,34,5,7,41.7,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-077,1994,22.3,2,0,0,14,32,6,26,24,25,0,0,0,159,7,16,30.4,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-121,1990,9.6,2,0,0,12,11,2,12,9,7,0,0,0,78,23,19,54.8,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-095,1992,17.0,3,0,0,37,16,0,6,12,23,0,0,0,221,42,45,48.3,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-094,1995,18.6,6,0,0,17,15,0,2,34,16,0,0,0,194,65,38,63.1,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-152,1981,15.1,3,0,0,15,7,1,6,12,5,0,0,0,138,34,5,87.2,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-232,1998,8.2,2,0,0,19,6,1,2,5,13,0,0,0,56,6,11,35.3,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-022,1993,16.6,6,0,0,34,5,0,3,29,30,0,0,0,143,24,16,60.0,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-244,1989,1.3,0,0,0,2,1,0,4,1,1,0,0,0,9,1,1,50.0,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-159,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-128,1994,8.0,2,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-050,1994,8.2,3,1,0,9,13,1,8,12,11,1,0,0,82,21,12,63.6,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-031,1997,6.2,2,0,0,16,5,3,10,3,3,0,0,0,38,17,22,43.6,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-183,1996,20.1,4,0,0,20,24,4,20,18,13,0,0,0,154,6,25,19.4,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-226,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
