,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-236,1985,30.6,23,16,18,5,0,9,17,52.9,8,169,69,40.8,89,72,8,42,22,1,20,22,45,145,1,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-161,1989,15.5,34,25,12,14,8,17,44,38.6,27,268,102,38.1,93,108,67,26,2,1,24,21,55,21,0,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-241,1993,15.4,5,4,1,2,2,1,7,14.3,6,144,41,28.5,7,66,71,10,0,0,10,6,11,4,0,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-040,1989,8.0,7,7,6,1,0,5,8,62.5,3,49,11,22.4,34,13,2,23,10,1,13,17,24,48,0,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-017,1991,15.6,45,29,17,20,8,13,35,37.1,22,313,97,31.0,82,160,71,18,0,0,18,26,71,15,0,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29-362,1991,21.8,54,36,33,20,1,20,72,27.8,52,483,137,28.4,223,226,34,43,9,0,34,25,79,37,1,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-123,1996,11.4,18,10,12,6,0,3,12,25.0,9,114,41,36.0,67,45,2,17,9,0,8,12,30,75,2,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-057,1989,19.9,33,15,19,14,0,13,24,54.2,11,171,58,33.9,104,64,3,37,22,1,15,5,38,140,0,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-077,1995,6.6,14,9,8,4,2,2,17,11.8,15,178,33,18.5,65,62,51,17,2,0,15,2,16,5,0,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-113,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-113,1998,12.1,13,5,4,7,2,4,15,26.7,11,201,49,24.4,43,118,40,14,1,0,13,6,19,6,0,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-069,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-203,1998,28.7,53,34,27,20,6,31,54,57.4,23,264,97,36.7,97,96,71,39,3,0,36,32,85,62,1,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21-359,1999,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-099,2004,3.3,10,8,2,7,1,1,8,12.5,7,92,34,37.0,13,42,37,10,1,0,9,3,13,0,0,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-075,1992,22.8,66,33,30,29,7,23,65,35.4,42,450,125,27.8,197,191,62,37,5,0,32,29,95,51,0,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-314,1992,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-208,1992,28.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,5,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-157,1993,8.0,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,0,1,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-110,1991,16.8,53,38,25,26,2,18,62,29.0,44,443,139,31.4,191,228,24,29,11,0,18,16,69,20,0,Matches
