,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2438,Suso\Suso,es ESP,FW,Sevilla,es La Liga,27-160,1993,20.4,14,9,4,5,5,7,23,30.4,16,184,58,31.5,37,84,63,17,0,0,17,9,23,4,0,Matches
2439,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,21-117,2000,2.6,7,5,1,3,3,2,4,50.0,2,25,12,48.0,9,9,7,3,1,0,2,2,9,16,0,Matches
2440,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,22-113,1999,17.5,35,13,16,12,7,10,38,26.3,28,249,63,25.3,91,115,43,32,3,0,29,32,67,22,0,Matches
2441,Abdoulaye Sylla\Abdoulaye-Sylla,gn GUI,DF,Nantes,fr Ligue 1,21-018,2000,0.1,2,0,2,0,0,1,1,100.0,0,2,0,0.0,2,0,0,0,0,0,0,1,3,1,0,Matches
2442,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Lens,fr Ligue 1,27-117,1994,12.4,36,21,15,18,3,12,21,57.1,9,165,61,37.0,47,74,44,25,3,0,22,16,52,25,0,Matches
2443,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,21-242,1999,1.1,1,1,1,0,0,0,1,0.0,1,22,6,27.3,5,11,6,1,0,0,1,0,1,0,0,Matches
2444,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,33-140,1987,6.9,6,6,3,2,1,1,5,20.0,4,111,36,32.4,11,52,48,4,1,0,3,3,9,2,0,Matches
2445,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,31-010,1990,26.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,Matches
2446,Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,de Bundesliga,29-014,1992,1.1,2,2,0,2,0,0,2,0.0,2,26,9,34.6,13,9,4,3,0,0,3,0,2,3,0,Matches
2447,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,de Bundesliga,25-144,1995,16.0,11,7,1,6,4,5,19,26.3,14,314,106,33.8,11,116,187,18,2,0,16,5,16,13,0,Matches
2448,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,23-230,1997,8.4,11,6,9,2,0,3,11,27.3,8,65,16,24.6,42,20,3,14,5,0,9,8,19,41,0,Matches
2449,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,25-076,1996,21.7,33,16,21,11,1,12,21,57.1,9,190,69,36.3,97,84,9,37,15,1,22,45,78,119,0,Matches
2450,Waniss Taibi\Waniss-Taibi,fr FRA,MF,Angers,fr Ligue 1,19-052,2002,0.3,0,0,0,0,0,0,2,0.0,2,11,0,0.0,1,9,1,0,0,0,0,0,0,0,0,Matches
2451,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,28-085,1993,12.3,30,18,9,18,3,9,25,36.0,16,213,69,32.4,57,96,60,12,2,0,10,14,44,8,0,Matches
2452,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Hellas Verona,it Serie A,27-083,1994,24.5,50,40,25,22,3,11,32,34.4,21,424,135,31.8,124,218,82,49,8,0,41,33,83,54,2,Matches
2453,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,22-028,1999,3.5,1,1,1,0,0,0,1,0.0,1,36,12,33.3,23,9,4,7,3,0,4,1,2,12,0,Matches
2454,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,es La Liga,25-274,1995,29.7,77,48,41,30,6,23,81,28.4,58,607,168,27.7,226,321,60,77,14,0,63,46,123,107,2,Matches
2455,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,22-085,1999,27.5,60,32,41,18,1,20,48,41.7,28,364,131,36.0,196,144,24,63,23,1,40,44,104,140,2,Matches
2456,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,25-222,1995,31.8,82,45,46,23,13,46,83,55.4,37,337,105,31.2,181,99,57,63,15,0,48,37,119,104,1,Matches
2457,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,28-160,1992,31.0,63,35,52,8,3,27,47,57.4,20,210,87,41.4,139,62,9,61,39,2,22,46,109,191,1,Matches
2458,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-078,1986,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
2459,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,eng Premier League,26-350,1994,0.9,1,0,1,0,0,1,2,50.0,1,23,2,8.7,8,9,6,2,0,0,2,0,1,0,0,Matches
2460,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,de Bundesliga,20-070,2001,0.8,1,0,0,1,0,0,2,0.0,2,13,3,23.1,4,7,2,4,1,0,3,0,1,5,0,Matches
2461,Heriberto Tavares\Heriberto-Tavares,pt POR,MFFW,Brest,fr Ligue 1,24-068,1997,0.5,0,0,0,0,0,0,1,0.0,1,17,4,23.5,3,10,4,0,0,0,0,1,1,1,0,Matches
2462,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,eng Premier League,19-211,2001,0.9,0,0,0,0,0,0,0,,0,19,7,36.8,8,9,2,1,1,0,0,1,1,0,0,Matches
2463,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,es La Liga,20-052,2001,0.7,1,1,1,0,0,1,2,50.0,1,11,1,9.1,9,0,2,0,0,0,0,1,2,2,0,Matches
2464,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,27-222,1993,22.0,38,21,21,11,6,20,40,50.0,20,185,54,29.2,73,80,32,56,15,0,41,20,58,72,1,Matches
2465,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,32-080,1989,0.2,1,0,1,0,0,0,0,,0,4,0,0.0,3,0,1,0,0,0,0,0,1,0,0,Matches
2466,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,eng Premier League,19-128,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
2467,Warren Tchimbembé\Warren-Tchimbembe,fr FRA,MFFW,Metz,fr Ligue 1,23-007,1998,5.5,4,3,3,1,0,3,8,37.5,5,78,22,28.2,26,39,13,9,1,0,8,3,7,5,0,Matches
2468,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,21-091,2000,30.0,129,86,51,61,17,38,79,48.1,41,559,203,36.3,180,288,91,51,11,0,40,55,184,61,0,Matches
2469,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,24-282,1996,1.2,5,3,0,3,2,2,3,66.7,1,15,5,33.3,4,9,2,2,0,0,2,0,5,6,0,Matches
2470,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,eng Premier League,21-297,1999,5.9,6,2,1,2,3,4,11,36.4,7,156,38,24.4,22,78,56,10,0,0,10,6,12,3,0,Matches
2471,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,eng Premier League,28-134,1992,5.7,8,4,7,1,0,3,7,42.9,4,49,16,32.7,25,16,8,8,0,0,8,5,13,17,0,Matches
2472,Andrés Tello\Andres-Tello,co COL,MFDF,Benevento,it Serie A,24-234,1996,4.1,9,6,6,3,0,3,16,18.8,13,80,28,35.0,37,26,17,10,1,0,9,7,16,9,0,Matches
2473,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,es La Liga,29-260,1991,12.6,13,9,4,7,2,5,25,20.0,20,165,40,24.2,26,86,53,17,0,0,17,8,21,3,0,Matches
2474,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,22-085,1999,3.0,5,3,2,3,0,0,2,0.0,2,63,16,25.4,24,36,3,8,1,0,7,0,5,7,0,Matches
2475,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,23-343,1997,3.9,4,3,3,1,0,3,5,60.0,2,44,18,40.9,18,18,8,7,1,0,6,0,4,5,0,Matches
2476,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28-363,1992,26.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,3,1,Matches
2477,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-051,1990,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2478,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,24-055,1997,23.7,30,21,6,13,11,7,25,28.0,18,417,116,27.8,45,179,193,30,1,0,29,15,45,9,0,Matches
2479,Claudio Terzi\Claudio-Terzi,it ITA,DF,Spezia,it Serie A,36-313,1984,17.8,26,10,17,8,1,13,23,56.5,10,174,67,38.5,86,84,4,30,10,1,20,32,58,68,0,Matches
2480,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,eng Premier League,25-201,1995,13.8,50,24,29,15,6,10,21,47.6,11,204,58,28.4,100,71,33,27,5,0,22,21,71,55,0,Matches
2481,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,25-201,1995,0.2,2,1,1,1,0,0,0,,0,4,2,50.0,1,1,2,0,0,0,0,1,3,0,0,Matches
2482,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,24-104,1997,8.1,7,6,1,5,1,1,14,7.1,13,166,49,29.5,21,94,51,14,0,0,14,11,18,6,0,Matches
2483,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,28-092,1993,27.5,45,22,21,18,6,20,55,36.4,35,375,89,23.7,88,170,117,27,1,0,26,14,59,9,0,Matches
2484,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,19-263,2001,16.1,47,20,27,18,2,15,30,50.0,15,222,65,29.3,116,94,12,29,14,0,15,32,79,80,0,Matches
2485,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,18-337,2002,10.5,16,10,4,7,5,2,7,28.6,5,193,52,26.9,26,99,68,12,1,0,11,7,23,2,0,Matches
2486,Sada Thioub\Sada-Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25-331,1995,12.1,20,17,8,5,7,8,23,34.8,15,266,80,30.1,71,104,91,17,0,0,17,7,27,5,0,Matches
2487,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,19-322,2001,6.8,12,3,5,2,5,6,9,66.7,3,118,35,29.7,51,46,21,21,3,0,18,9,21,22,0,Matches
2488,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32-320,1988,29.6,53,31,41,11,1,13,41,31.7,28,294,94,32.0,212,75,7,43,24,0,19,35,88,195,1,Matches
2489,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27-139,1993,26.2,40,31,14,16,10,7,52,13.5,45,626,190,30.4,85,329,212,35,2,0,33,25,65,4,0,Matches
2490,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,de Bundesliga,26-251,1994,2.5,3,0,0,2,1,1,2,50.0,1,34,8,23.5,7,14,13,3,0,0,3,5,8,0,0,Matches
2491,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24-358,1996,26.9,76,56,33,34,9,14,49,28.6,35,648,204,31.5,252,276,120,61,17,0,44,20,96,39,0,Matches
2492,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-265,1997,16.9,20,14,9,5,6,5,16,31.3,11,270,88,32.6,45,127,98,31,3,0,28,19,39,14,0,Matches
2493,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,20-033,2001,14.7,30,18,5,19,6,7,25,28.0,18,227,73,32.2,68,118,41,22,6,0,16,9,39,23,0,Matches
2494,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,22-055,1999,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
2495,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23-356,1997,32.3,62,47,24,26,12,20,78,25.6,58,425,145,34.1,135,210,80,49,8,0,41,27,89,23,0,Matches
2496,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23-327,1997,22.4,26,15,7,13,6,8,25,32.0,17,177,58,32.8,65,75,37,42,10,0,32,14,40,69,0,Matches
2497,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22-271,1998,0.6,4,3,0,1,3,2,3,66.7,1,23,6,26.1,3,12,8,3,0,0,3,0,4,1,0,Matches
2498,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,23-127,1997,1.3,3,1,1,1,1,2,4,50.0,2,35,9,25.7,7,11,17,2,0,0,2,1,4,1,0,Matches
2499,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,31-193,1989,12.5,13,6,2,9,2,7,15,46.7,8,98,29,29.6,28,53,17,7,3,1,4,10,23,61,0,Matches
2500,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,21-119,1999,10.8,21,14,16,5,0,12,23,52.2,11,104,39,37.5,68,31,5,13,7,0,6,16,37,61,1,Matches
2501,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28-226,1992,27.4,13,6,4,4,5,4,31,12.9,27,284,71,25.0,66,113,105,23,3,0,20,24,37,12,0,Matches
2502,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-268,1994,8.1,16,12,3,12,1,7,24,29.2,17,144,36,25.0,31,80,33,15,1,0,14,3,19,9,0,Matches
2503,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,26-263,1994,13.7,23,13,18,3,2,12,28,42.9,16,178,54,30.3,83,57,38,23,7,0,16,12,35,29,0,Matches
2504,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,30-200,1990,25.4,50,28,22,23,5,15,36,41.7,21,287,108,37.6,106,140,41,41,6,0,35,35,85,73,1,Matches
2505,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-174,1998,25.4,33,21,18,11,4,12,25,48.0,13,277,102,36.8,138,110,29,52,17,0,35,42,75,130,0,Matches
2506,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,32-030,1989,4.3,4,2,3,1,0,3,4,75.0,1,25,6,24.0,20,5,0,4,1,0,3,2,6,37,0,Matches
2507,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,23-130,1997,0.5,3,2,1,2,0,2,2,100.0,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0,Matches
2508,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,23-130,1997,11.3,26,13,17,8,1,9,14,64.3,5,144,56,38.9,80,58,6,24,14,1,10,17,43,68,1,Matches
2509,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20-355,2000,14.3,25,12,12,12,1,10,25,40.0,15,288,67,23.3,99,151,38,29,6,0,23,19,44,20,0,Matches
2510,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,31-101,1990,17.3,36,22,21,15,0,4,16,25.0,12,209,76,36.4,116,79,14,32,12,1,20,17,53,97,1,Matches
2511,Toño\Tono,es ESP,DF,Levante,es La Liga,31-172,1989,6.4,6,4,5,1,0,3,9,33.3,6,60,21,35.0,36,17,7,9,1,0,8,4,10,17,0,Matches
2512,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-281,1989,20.1,29,11,19,10,0,10,21,47.6,11,146,47,32.2,88,53,5,40,15,0,25,50,79,134,2,Matches
2513,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-303,2001,0.2,0,0,0,0,0,0,0,,0,7,1,14.3,1,3,3,0,0,0,0,0,0,0,0,Matches
2514,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28-304,1992,1.8,1,1,0,0,1,0,1,0.0,1,27,5,18.5,2,16,9,5,1,0,4,1,2,1,0,Matches
2515,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,25-076,1996,5.8,8,6,2,4,2,0,4,0.0,4,75,18,24.0,26,37,12,11,3,0,8,7,15,7,0,Matches
2516,Ferrán Torres\Ferran-Torres,es ESP,FW,Manchester City,eng Premier League,21-058,2000,11.4,8,4,2,3,3,5,16,31.3,11,157,45,28.7,24,66,67,11,1,0,10,4,12,4,0,Matches
2517,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,26-169,1994,14.2,31,24,12,15,4,12,39,30.8,27,269,84,31.2,59,154,56,26,2,0,24,16,47,5,0,Matches
2518,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,24-102,1997,29.0,16,10,6,8,2,5,14,35.7,9,140,52,37.1,86,45,9,43,24,1,19,27,43,123,3,Matches
2519,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,32-052,1989,17.7,12,6,4,5,3,5,22,22.7,17,176,40,22.7,37,88,51,14,0,0,14,14,26,19,0,Matches
2520,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26-283,1994,13.8,27,19,4,19,4,14,31,45.2,17,188,70,37.2,55,100,33,19,7,0,12,22,49,48,0,Matches
2521,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-264,1997,8.6,9,5,7,1,1,1,7,14.3,6,78,20,25.6,45,27,6,12,2,0,10,16,25,64,4,Matches
2522,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29-325,1991,0.5,0,0,0,0,0,0,0,,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0,Matches
2523,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,27-056,1994,18.7,31,21,15,12,4,6,29,20.7,23,281,75,26.7,72,160,49,28,6,0,22,16,47,26,0,Matches
2524,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,25-000,1996,7.7,16,13,6,6,4,8,16,50.0,8,117,37,31.6,36,47,34,15,1,0,14,11,27,19,1,Matches
2525,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,23-364,1997,20.8,47,33,24,21,2,11,29,37.9,18,400,137,34.3,135,214,51,45,7,0,38,36,83,73,2,Matches
2526,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29-286,1991,20.4,55,29,32,16,7,18,76,23.7,58,416,104,25.0,192,163,61,47,1,0,46,39,94,12,0,Matches
2527,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,eng Premier League,28-055,1993,19.8,39,22,25,10,4,21,39,53.8,18,213,65,30.5,104,82,27,33,11,2,22,32,71,47,0,Matches
2528,Mattéo Tramoni\Matteo-Tramoni,fr FRA,FWMF,Cagliari,it Serie A,21-098,2000,0.8,2,2,1,0,1,0,1,0.0,1,38,12,31.6,16,13,9,9,0,0,9,1,3,0,0,Matches
2529,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,eng Premier League,25-093,1996,25.8,28,19,13,11,4,8,17,47.1,9,299,86,28.8,72,159,68,24,0,0,24,10,38,14,1,Matches
2530,Amadou Traore\Amadou-Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,19-052,2002,2.4,5,3,2,2,1,2,10,20.0,8,57,11,19.3,18,24,15,10,0,0,10,1,6,1,0,Matches
2531,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,eng Premier League,25-234,1995,20.5,20,7,7,5,8,7,34,20.6,27,298,55,18.5,82,124,92,18,0,0,18,22,42,16,0,Matches
2532,Chaka Traorè\Chaka-Traore,ci CIV,MFDF,Parma,it Serie A,16-126,2004,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
2533,Charles Traore\Charles-Traore,ml MLI,DF,Nantes,fr Ligue 1,29-117,1992,18.8,62,37,33,23,6,27,55,49.1,28,332,130,39.2,163,132,37,46,6,0,40,25,87,87,1,Matches
2534,Cheick Traoré\Cheick-Traore,ml MLI,DF,Lens,fr Ligue 1,26-028,1995,0.2,2,1,1,1,0,2,2,100.0,0,2,1,50.0,1,1,0,0,0,0,0,0,2,1,0,Matches
2535,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,fr Ligue 1,29-091,1992,29.5,64,35,26,29,9,25,69,36.2,44,333,114,34.2,129,134,70,54,3,0,51,53,117,54,1,Matches
2536,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,de Bundesliga,33-007,1988,1.1,2,1,1,1,0,1,3,33.3,2,22,8,36.4,5,10,7,2,0,0,2,0,2,0,0,Matches
2537,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,34-253,1986,33.0,50,34,31,16,3,17,35,48.6,18,313,111,35.5,208,89,16,41,16,0,25,42,92,148,1,Matches
2538,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-294,1990,31.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,1,1,2,3,Matches
2539,Miguel Trauco\Miguel-Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,28-246,1992,20.6,43,24,28,11,4,20,42,47.6,22,249,91,36.5,108,96,45,30,4,0,26,32,75,53,0,Matches
2540,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,eng Premier League,26-209,1994,13.0,32,18,13,12,7,11,39,28.2,28,307,68,22.1,94,119,94,27,1,0,26,11,43,16,0,Matches
2541,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,es La Liga,29-193,1991,24.1,52,29,25,22,5,16,60,26.7,44,506,120,23.7,166,244,96,31,2,0,29,12,64,19,0,Matches
2542,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,de Bundesliga,34-063,1987,26.0,56,33,39,14,3,21,49,42.9,28,299,93,31.1,147,117,35,39,7,0,32,54,110,79,0,Matches
2543,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,es La Liga,21-120,1999,7.0,6,3,0,4,2,1,6,16.7,5,102,25,24.5,19,41,42,3,1,0,2,4,10,2,0,Matches
2544,Alessandro Tripaldelli\Alessandro-Tripaldelli,it ITA,DF,Cagliari,it Serie A,22-078,1999,3.3,11,4,7,3,1,4,6,66.7,2,60,13,21.7,27,25,8,7,0,0,7,4,15,11,0,Matches
2545,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,es La Liga,30-221,1990,22.5,54,33,32,14,8,21,47,44.7,26,267,87,32.6,123,99,45,47,5,0,42,30,84,53,1,Matches
2546,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,26-145,1994,25.3,26,19,7,15,4,6,30,20.0,24,371,115,31.0,94,150,127,37,4,0,33,21,47,4,0,Matches
2547,Alexis Trouillet\Alexis-Trouillet,fr FRA,MF,Nice,fr Ligue 1,20-126,2000,1.2,6,4,1,5,0,3,4,75.0,1,22,6,27.3,3,16,3,1,0,0,1,1,7,0,0,Matches
2548,Adrien Truffert\Adrien-Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,19-159,2001,20.8,39,22,17,14,8,12,30,40.0,18,290,85,29.3,104,111,75,46,5,0,41,18,57,48,2,Matches
2549,Marvin Tshibuabua\Marvin-Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-110,2002,0.5,1,0,1,0,0,0,0,,0,4,2,50.0,3,1,0,3,0,0,3,1,2,2,0,Matches
2550,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24-351,1996,0.1,0,0,0,0,0,0,0,,0,4,3,75.0,0,2,2,0,0,0,0,0,0,0,0,Matches
2551,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,23-165,1997,1.5,5,2,2,3,0,2,4,50.0,2,24,6,25.0,14,9,1,6,3,0,3,0,5,4,0,Matches
2552,Alessandro Tuia\Alessandro-Tuia,it ITA,DF,Benevento,it Serie A,30-324,1990,18.0,45,27,40,3,2,18,28,64.3,10,212,78,36.8,158,48,6,24,7,0,17,25,70,95,1,Matches
2553,Ľubomír Tupta\Lubomir-Tupta,sk SVK,MF,Hellas Verona,it Serie A,23-032,1998,0.6,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0,Matches
2554,Tuta\Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21-298,1999,14.4,29,14,16,12,1,9,34,26.5,25,200,62,31.0,99,79,22,32,3,0,29,28,57,66,1,Matches
2555,Iyenoma Udogie\Iyenoma-Udogie,it ITA,DFMF,Hellas Verona,it Serie A,18-151,2002,1.3,5,3,3,1,1,1,2,50.0,1,26,12,46.2,10,11,5,3,1,0,2,3,8,6,0,Matches
2556,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,fr Ligue 1,25-039,1996,17.1,34,24,17,14,3,9,31,29.0,22,241,87,36.1,104,95,42,51,5,0,46,28,62,35,0,Matches
2557,Naomichi Ueda\Naomichi-Ueda,jp JPN,DF,Nîmes,fr Ligue 1,26-186,1994,4.1,3,1,2,0,1,2,5,40.0,3,18,9,50.0,15,3,0,5,3,0,2,7,10,31,0,Matches
2558,Chimuanya Ugochukwu\Chimuanya-Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,17-033,2004,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2559,Hwang Ui-jo\Hwang-Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,28-243,1992,24.4,5,3,4,1,0,3,26,11.5,23,301,85,28.2,36,147,118,17,2,0,15,10,15,13,0,Matches
2560,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,es La Liga,27-165,1993,5.7,8,5,4,4,0,3,4,75.0,1,45,14,31.1,15,28,2,10,5,0,5,12,20,19,0,Matches
2561,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,es La Liga,23-353,1997,10.8,8,6,2,4,2,1,6,16.7,5,203,49,24.1,18,102,83,16,1,0,15,1,9,9,0,Matches
2562,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,eng Premier League,23-288,1997,3.1,3,3,0,2,1,1,5,20.0,4,44,15,34.1,11,18,15,5,0,0,5,3,6,0,0,Matches
