 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1968,Federico Peluso\Federico-Peluso,it ITA,DF,Sassuolo,it Serie A,37-098,1984,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1969,Timothee Pembele\Timothee-Pembele,fr FRA,DF,Paris S-G,fr Ligue 1,18-231,2002,4.2,1,4,2,50.0,0.95,0.48,0.25,0.50,11.6,0,0,0,1.0,1.0,0.26,0.0,0.0,Matches
1970,Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,es La Liga,29-284,1991,10.1,1,6,2,33.3,0.59,0.20,0.17,0.50,15.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
1971,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,35-362,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1972,Pepe\Pepe,es ESP,DF,Granada,es La Liga,21-057,2000,1.8,0,1,0,0.0,0.55,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1973,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,eng Premier League,25-334,1995,14.8,5,39,14,35.9,2.63,0.95,0.10,0.29,15.4,1,1,1,6.0,5.2,0.13,-1.0,-1.2,Matches
1974,Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,es La Liga,30-130,1990,15.6,1,25,5,20.0,1.61,0.32,0.04,0.20,21.2,4,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
1975,Mathias Pereira Lage\Mathias-Pereira-Lage,pt POR,FWMF,Angers,fr Ligue 1,24-149,1996,14.1,3,22,6,27.3,1.56,0.43,0.14,0.50,19.8,1,0,0,1.4,1.4,0.06,+1.6,+1.6,Matches
1976,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Lazio,it Serie A,25-117,1996,5.1,1,11,4,36.4,2.14,0.78,0.09,0.25,21.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
1977,Danilo Pereira\Danilo-Pereira,pt POR,MFDF,Paris S-G,fr Ligue 1,29-231,1991,12.0,2,15,3,20.0,1.25,0.25,0.13,0.67,13.3,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches
1978,Matheus Pereira\Matheus-Pereira,br BRA,MFFW,West Brom,eng Premier League,24-358,1996,24.6,9,48,19,39.6,1.95,0.77,0.10,0.26,21.4,9,4,4,6.4,3.4,0.07,+2.6,+1.6,Matches
1979,Pedro Pereira\Pedro-Pereira,pt POR,DF,Crotone,it Serie A,23-096,1998,25.4,0,13,5,38.5,0.51,0.20,0.00,0.00,23.3,2,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1980,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,eng Premier League,27-204,1993,9.3,0,7,4,57.1,0.75,0.43,0.00,0.00,19.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
1981,Gastón Pereiro\Gaston-Pereiro,uy URU,MFFW,Cagliari,it Serie A,25-321,1995,2.8,2,13,5,38.5,4.68,1.80,0.15,0.40,15.4,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
1982,Bruno Peres\Bruno-Peres,br BRA,DF,Roma,it Serie A,31-058,1990,14.3,1,12,6,50.0,0.84,0.42,0.08,0.17,17.1,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
1983,Roberto Pereyra\Roberto-Pereyra,ar ARG,MFFW,Udinese,it Serie A,30-111,1991,27.5,4,22,6,27.3,0.80,0.22,0.18,0.67,16.9,0,0,0,2.6,2.6,0.12,+1.4,+1.4,Matches
1984,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Leicester City,eng Premier League,27-279,1993,12.1,2,23,9,39.1,1.89,0.74,0.09,0.22,16.7,1,0,0,2.4,2.4,0.10,-0.4,-0.4,Matches
1985,Carles Pérez\Carles-Perez,es ESP,FWMF,Roma,it Serie A,23-071,1998,8.6,2,23,8,34.8,2.69,0.94,0.09,0.25,15.6,0,0,0,2.8,2.8,0.14,-0.8,-0.8,Matches
1986,Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,es La Liga,33-100,1988,14.1,0,9,2,22.2,0.64,0.14,0.00,0.00,25.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1987,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24-287,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1988,Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,es La Liga,24-073,1997,11.5,0,13,4,30.8,1.13,0.35,0.00,0.00,21.4,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
1989,Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,es La Liga,32-230,1988,17.3,4,22,6,27.3,1.27,0.35,0.05,0.17,18.2,2,3,4,5.7,2.7,0.12,-1.7,-1.7,Matches
1990,Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,es La Liga,26-083,1995,13.5,0,2,0,0.0,0.15,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1991,Manuel Perez\Manuel-Perez,fr FRA,MF,Lens,fr Ligue 1,29-352,1991,1.4,0,1,0,0.0,0.70,0.00,0.00,,22.8,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
1992,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,es La Liga,20-308,2000,6.0,0,4,0,0.0,0.67,0.00,0.00,,9.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
1993,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,28-169,1992,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1994,Ivan Perišić\Ivan-Perisic,hr CRO,DFFW,Inter,it Serie A,32-085,1989,18.1,3,30,9,30.0,1.65,0.50,0.10,0.33,12.0,0,0,0,4.2,4.2,0.14,-1.2,-1.2,Matches
1995,Romain Perraud\Romain-Perraud,fr FRA,DF,Brest,fr Ligue 1,23-218,1997,30.9,3,36,10,27.8,1.17,0.32,0.08,0.30,22.7,1,0,0,1.7,1.7,0.05,+1.3,+1.3,Matches
1996,Lucas Perrin\Lucas-Perrin,fr FRA,DF,Marseille,fr Ligue 1,22-160,1998,3.4,1,3,1,33.3,0.88,0.29,0.33,1.00,12.4,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
1997,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33-166,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1998,Matteo Pessina\Matteo-Pessina,it ITA,MF,Atalanta,it Serie A,24-007,1997,15.9,1,19,8,42.1,1.20,0.50,0.05,0.13,14.6,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
1999,Andrea Petagna\Andrea-Petagna,it ITA,FW,Napoli,it Serie A,25-302,1995,10.4,4,25,11,44.0,2.39,1.05,0.16,0.36,10.3,0,0,0,4.0,4.0,0.16,0.0,0.0,Matches
2000,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,de Bundesliga,32-143,1988,12.1,7,31,10,32.3,2.57,0.83,0.19,0.60,10.2,0,1,1,6.0,5.3,0.17,+1.0,+0.7,Matches
2001,Jacopo Petriccione\Jacopo-Petriccione,it ITA,MF,Crotone,it Serie A,26-065,1995,10.2,0,3,1,33.3,0.30,0.10,0.00,0.00,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2002,Jens Petter Hauge\Jens-Petter-Hauge,no NOR,FWMF,Milan,it Serie A,21-198,1999,5.9,2,7,3,42.9,1.18,0.51,0.29,0.67,14.4,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches
2003,Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,29-305,1991,26.5,1,15,2,13.3,0.57,0.08,0.07,0.50,10.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
2004,Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Parma,it Serie A,23-150,1997,19.3,1,5,2,40.0,0.26,0.10,0.20,0.50,24.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
2005,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,de Bundesliga,27-058,1994,9.6,3,21,10,47.6,2.19,1.04,0.14,0.30,15.8,0,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches
2006,Rayan Philippe\Rayan-Philippe,fr FRA,FW,Dijon,fr Ligue 1,20-187,2000,1.0,0,3,2,66.7,2.90,1.94,0.00,0.00,15.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
2007,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,FW,Nîmes,fr Ligue 1,33-057,1988,2.4,1,2,2,100.0,0.84,0.84,0.50,0.50,11.1,0,0,0,0.6,0.6,0.32,+0.4,+0.4,Matches
2008,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,MFFW,Brest,fr Ligue 1,33-057,1988,6.5,1,10,2,20.0,1.55,0.31,0.10,0.50,18.5,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
2009,Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,eng Premier League,25-147,1995,24.5,0,13,4,30.8,0.53,0.16,0.00,0.00,25.8,2,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
2010,Matt Phillips\Matt-Phillips,sco SCO,MF,West Brom,eng Premier League,30-046,1991,15.7,2,19,9,47.4,1.21,0.57,0.11,0.22,20.1,1,0,0,2.4,2.4,0.13,-0.4,-0.4,Matches
2011,Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,eng Premier League,24-038,1997,11.2,0,4,0,0.0,0.36,0.00,0.00,,11.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2012,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Hertha BSC,de Bundesliga,25-301,1995,15.9,6,34,15,44.1,2.14,0.94,0.18,0.40,14.6,0,0,1,5.5,4.7,0.14,+0.5,+1.3,Matches
2013,Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Elche,es La Liga,32-028,1989,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,22.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
2014,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Atalanta,it Serie A,28-214,1992,0.7,0,1,0,0.0,1.53,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
2015,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,es La Liga,28-214,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2016,Roberto Piccoli\Roberto-Piccoli,it ITA,FW,Spezia,it Serie A,20-091,2001,6.8,4,12,9,75.0,1.76,1.32,0.33,0.44,11.0,0,0,0,3.0,3.0,0.25,+1.0,+1.0,Matches
2017,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,27-052,1994,24.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2018,Jérémy Pied\Jeremy-Pied,fr FRA,DF,Lille,fr Ligue 1,32-064,1989,3.4,0,1,1,100.0,0.30,0.30,0.00,0.00,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2019,Amos Pieper\Amos-Pieper,de GER,DF,Arminia,de Bundesliga,23-101,1998,26.8,1,13,4,30.8,0.49,0.15,0.08,0.25,15.2,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
2020,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Brest,fr Ligue 1,22-319,1998,23.6,1,8,2,25.0,0.34,0.08,0.13,0.50,17.7,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
2021,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,eng Premier League,32-264,1988,14.1,0,4,3,75.0,0.28,0.21,0.00,0.00,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2022,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,es La Liga,33-196,1987,24.1,1,9,1,11.1,0.37,0.04,0.11,1.00,17.3,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
2023,Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Inter,it Serie A,21-344,1999,0.6,0,2,1,50.0,3.27,1.64,0.00,0.00,14.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
2024,Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,es La Liga,18-190,2002,5.7,1,7,2,28.6,1.24,0.35,0.14,0.50,13.7,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
2025,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,34-085,1987,11.8,0,3,0,0.0,0.26,0.00,0.00,,7.8,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
2026,Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,it Serie A,35-090,1986,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2027,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,de Bundesliga,35-329,1985,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2028,Marko Pjaca\Marko-Pjaca,hr CRO,FWMF,Genoa,it Serie A,25-357,1995,13.5,3,25,8,32.0,1.85,0.59,0.12,0.38,16.6,0,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches
2029,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,es La Liga,31-026,1990,6.7,0,15,3,20.0,2.23,0.45,0.00,0.00,21.8,2,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
2030,Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,es La Liga,30-076,1991,22.1,4,28,8,28.6,1.26,0.36,0.14,0.50,16.7,0,0,0,3.1,3.1,0.11,+0.9,+0.9,Matches
2031,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,29-092,1992,9.4,0,3,0,0.0,0.32,0.00,0.00,,29.5,2,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
2032,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'Gladbach,de Bundesliga,28-049,1993,18.7,6,53,23,43.4,2.84,1.23,0.11,0.26,16.2,0,0,0,4.7,4.7,0.09,+1.3,+1.3,Matches
2033,Dani Plomer\Dani-Plomer,es ESP,FW,Granada,es La Liga,22-149,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2034,Tommaso Pobega\Tommaso-Pobega,it ITA,MF,Spezia,it Serie A,21-287,1999,11.6,3,13,5,38.5,1.12,0.43,0.23,0.60,16.7,0,0,0,1.7,1.7,0.13,+1.3,+1.3,Matches
2035,Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,eng Premier League,25-189,1995,17.5,3,31,14,45.2,1.77,0.80,0.10,0.21,16.5,0,0,0,3.0,3.0,0.10,0.0,0.0,Matches
2036,Paul Pogba\Paul-Pogba,fr FRA,MFFW,Manchester Utd,eng Premier League,28-044,1993,18.1,3,26,11,42.3,1.44,0.61,0.12,0.27,14.9,0,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches
2037,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Union Berlin,de Bundesliga,26-227,1994,8.1,5,27,13,48.1,3.35,1.61,0.19,0.38,11.8,0,0,0,6.1,6.1,0.23,-1.1,-1.1,Matches
2038,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,de Bundesliga,26-227,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2039,Andrea Poli\Andrea-Poli,it ITA,MF,Bologna,it Serie A,31-211,1989,4.1,1,3,2,66.7,0.73,0.49,0.33,0.50,10.5,0,0,0,0.9,0.9,0.30,+0.1,+0.1,Matches
2040,Matteo Politano\Matteo-Politano,it ITA,FW,Napoli,it Serie A,27-268,1993,18.8,9,51,18,35.3,2.71,0.96,0.18,0.50,19.0,0,0,0,4.5,4.5,0.09,+4.5,+4.5,Matches
2041,Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,es La Liga,27-065,1994,5.5,1,13,4,30.8,2.38,0.73,0.08,0.25,20.1,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
2042,Marin Pongračić\Marin-Pongracic,hr CRO,DF,Wolfsburg,de Bundesliga,23-229,1997,6.4,0,1,0,0.0,0.16,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2043,Pere Pons\Pere-Pons,es ESP,MF,Alavés,es La Liga,28-067,1993,9.6,0,4,1,25.0,0.42,0.10,0.00,0.00,15.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
2044,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,29-009,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2045,Manolo Portanova\Manolo-Portanova,it ITA,MFFW,Genoa,it Serie A,20-330,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2046,Manolo Portanova\Manolo-Portanova,it ITA,FWMF,Juventus,it Serie A,20-330,2000,0.8,0,5,2,40.0,6.43,2.57,0.00,0.00,20.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
2047,Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,es La Liga,30-319,1990,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2048,Portu\Portu,es ESP,FWMF,Real Sociedad,es La Liga,28-342,1992,20.8,8,27,10,37.0,1.30,0.48,0.30,0.80,12.9,0,0,0,4.9,4.9,0.18,+3.1,+3.1,Matches
2049,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,de Bundesliga,23-349,1997,20.5,0,8,2,25.0,0.39,0.10,0.00,0.00,22.5,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
2050,Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,es La Liga,32-175,1988,16.4,0,1,0,0.0,0.06,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
2051,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,26-317,1994,13.6,5,42,14,33.3,3.08,1.03,0.12,0.36,13.5,0,0,0,4.8,4.8,0.12,+0.2,+0.2,Matches
2052,Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,fr Ligue 1,28-255,1992,3.6,0,1,0,0.0,0.28,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
2053,Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,es La Liga,24-046,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2054,Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,es La Liga,22-065,1999,23.9,0,11,1,9.1,0.46,0.04,0.00,0.00,22.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
2055,Dennis Praet\Dennis-Praet,be BEL,MFFW,Leicester City,eng Premier League,26-349,1994,8.0,1,8,2,25.0,1.00,0.25,0.13,0.50,16.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
2056,Sanjin Prcić\Sanjin-Prcic,ba BIH,MF,Strasbourg,fr Ligue 1,27-159,1993,3.8,0,6,1,16.7,1.57,0.26,0.00,0.00,27.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
2057,Nicolas de Préville\Nicolas-de-Preville,fr FRA,FWMF,Bordeaux,fr Ligue 1,30-110,1991,16.2,1,33,9,27.3,2.04,0.56,0.03,0.11,15.7,3,0,0,3.6,3.6,0.11,-2.6,-2.6,Matches
2058,Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,de Bundesliga,29-268,1991,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,25.7,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
2059,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,de Bundesliga,26-109,1995,20.2,3,20,5,25.0,0.99,0.25,0.15,0.60,13.9,0,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches
2060,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,eng Premier League,29-238,1991,2.4,0,4,2,50.0,1.69,0.85,0.00,0.00,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2061,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,27-042,1994,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2062,Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,es La Liga,29-066,1992,20.4,2,23,9,39.1,1.13,0.44,0.09,0.22,15.4,0,0,0,3.6,3.6,0.15,-1.6,-1.6,Matches
2063,Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,es La Liga,21-258,1999,2.3,1,4,2,50.0,1.76,0.88,0.25,0.50,17.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
2064,Erick Pulgar\Erick-Pulgar,cl CHI,MF,Fiorentina,it Serie A,27-103,1994,17.7,1,14,3,21.4,0.79,0.17,0.07,0.33,22.8,4,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
2065,Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,es La Liga,30-020,1991,28.1,1,17,2,11.8,0.61,0.07,0.06,0.50,13.2,0,0,0,2.6,2.6,0.17,-1.6,-1.6,Matches
2066,Christian Pulisic\Christian-Pulisic,us USA,FWMF,Chelsea,eng Premier League,22-222,1998,15.3,4,35,13,37.1,2.29,0.85,0.11,0.31,14.1,0,0,0,4.3,4.3,0.12,-0.3,-0.3,Matches
2067,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FW,Udinese,it Serie A,25-128,1995,8.4,3,17,7,41.2,2.03,0.84,0.18,0.43,13.8,0,0,0,2.2,2.2,0.13,+0.8,+0.8,Matches
2068,Fabio Quagliarella\Fabio-Quagliarella,it ITA,FW,Sampdoria,it Serie A,38-087,1983,22.2,11,70,22,31.4,3.15,0.99,0.14,0.45,18.0,1,1,2,9.3,7.8,0.11,+1.7,+2.2,Matches
2069,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,de Bundesliga,27-201,1993,14.4,4,29,14,48.3,2.01,0.97,0.14,0.29,17.6,1,0,0,4.5,4.5,0.16,-0.5,-0.5,Matches
2070,Domingos Quina\Domingos-Quina,pt POR,MF,Granada,es La Liga,21-161,1999,3.4,2,7,2,28.6,2.03,0.58,0.29,1.00,21.9,0,0,0,0.2,0.2,0.03,+1.8,+1.8,Matches
2071,Quini\Quini,es ESP,DF,Granada,es La Liga,31-216,1989,8.2,1,5,2,40.0,0.61,0.24,0.20,0.50,22.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
2072,Quique\Quique,es ESP,FWMF,Eibar,es La Liga,30-347,1990,1.7,0,3,1,33.3,1.76,0.59,0.00,0.00,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
2073,Dani Raba\Dani-Raba,es ESP,MF,Villarreal,es La Liga,25-181,1995,0.3,0,2,0,0.0,6.00,0.00,0.00,,21.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2074,Simone Rabbi\Simone-Rabbi,it ITA,FW,Bologna,it Serie A,19-180,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2075,Adrien Rabiot\Adrien-Rabiot,fr FRA,MF,Juventus,it Serie A,26-025,1995,21.6,2,25,8,32.0,1.16,0.37,0.08,0.25,16.6,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
2076,Uroš Račić\Uros-Racic,rs SRB,MF,Valencia,es La Liga,23-042,1998,20.9,1,30,8,26.7,1.44,0.38,0.03,0.13,22.1,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
2077,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,22-118,1998,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2078,Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,es La Liga,28-081,1993,12.5,0,7,0,0.0,0.56,0.00,0.00,,22.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
2079,Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FW,Marseille,fr Ligue 1,25-072,1996,4.4,2,12,7,58.3,2.73,1.59,0.17,0.29,15.8,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Matches
2080,Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FWDF,Hertha BSC,de Bundesliga,25-072,1996,2.2,0,4,1,25.0,1.80,0.45,0.00,0.00,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
2081,Aleksandar Radovanović\Aleksandar-Radovanovic,rs SRB,DF,Lens,fr Ligue 1,27-168,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2082,Ivan Radovanović\Ivan-Radovanovic,rs SRB,DFMF,Genoa,it Serie A,32-242,1988,23.0,0,5,1,20.0,0.22,0.04,0.00,0.00,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2083,Ștefan Radu\Stefan-Radu,ro ROU,DF,Lazio,it Serie A,34-188,1986,22.2,0,4,0,0.0,0.18,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2084,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,39-056,1982,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2085,Rafinha\Rafinha,br BRA,MF,Paris S-G,fr Ligue 1,28-075,1993,13.5,0,23,8,34.8,1.70,0.59,0.00,0.00,18.0,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
2086,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,25-179,1995,32.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2087,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Sevilla,es La Liga,33-049,1988,21.9,3,33,7,21.2,1.51,0.32,0.06,0.29,18.6,2,1,1,4.3,3.5,0.11,-1.3,-1.5,Matches
2088,Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Osasuna,es La Liga,27-322,1993,1.2,0,1,0,0.0,0.85,0.00,0.00,,6.3,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
2089,Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,de Bundesliga,26-172,1994,13.5,2,25,7,28.0,1.85,0.52,0.08,0.29,18.5,1,0,0,2.1,2.0,0.08,-0.1,0.0,Matches
