,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-099,2004,3.3,89,88,1,0,0,20,1,6,0,0,0,0,64,15,10,62,15,3,0,5,58,1,1,6,4,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-075,1992,22.8,1389,1190,199,25,2,143,16,49,0,0,0,0,863,324,202,1010,104,75,174,1,1117,3,21,36,50,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-314,1992,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,4,2,0,0,5,0,0,0,0,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-208,1992,28.0,960,766,194,53,0,68,30,0,0,0,0,0,702,49,209,80,722,1,0,131,825,3,13,6,1,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-157,1993,8.0,265,179,86,20,0,16,7,0,0,0,0,0,103,10,152,12,197,0,1,43,170,1,9,1,0,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-110,1991,16.8,792,766,26,16,0,108,12,2,0,0,0,0,572,113,107,82,680,22,3,4,678,2,7,21,12,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-017,1996,2.7,137,130,7,3,0,21,1,4,0,0,0,0,111,14,12,7,121,4,1,0,111,0,0,5,6,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-077,1994,22.3,740,712,28,6,2,119,16,26,6,0,1,0,560,91,89,672,33,19,5,6,597,3,6,20,24,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-121,1990,9.6,540,463,77,9,0,78,4,12,4,0,4,0,360,98,82,398,48,19,64,2,447,2,6,12,22,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-095,1992,17.0,675,662,13,11,0,127,24,6,0,0,0,0,427,85,163,64,513,62,1,1,525,1,20,8,12,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-094,1995,18.6,941,889,52,49,1,94,47,2,0,0,0,0,677,87,177,66,783,56,3,1,794,3,19,11,13,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-152,1981,15.1,811,781,30,24,0,47,52,6,0,0,0,0,567,80,164,124,620,36,3,2,704,3,12,3,2,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-232,1998,8.2,351,339,12,2,0,65,9,2,1,1,0,0,287,36,28,27,299,12,8,1,308,0,3,5,8,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-022,1993,16.6,685,665,20,19,2,103,14,3,0,0,0,0,554,51,80,48,590,28,1,1,594,1,7,12,9,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-244,1989,1.3,58,52,6,1,0,11,1,4,0,0,0,0,42,8,8,4,48,0,5,0,47,1,2,0,1,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-159,2001,0.5,12,10,2,0,0,3,0,0,0,0,0,0,9,1,2,9,1,0,2,0,8,0,0,0,2,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-128,1994,8.0,466,433,33,1,0,47,3,0,0,0,0,0,341,59,66,36,362,21,32,2,400,2,0,7,10,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-050,1994,8.2,402,332,70,7,0,59,13,8,0,0,0,0,205,110,87,218,82,22,63,2,323,1,9,2,14,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-031,1997,6.2,204,193,11,2,1,59,10,10,3,2,1,0,120,28,56,33,136,17,1,1,137,1,3,5,13,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-183,1996,20.1,1085,999,86,33,2,180,22,20,42,14,17,0,786,135,164,142,914,12,8,5,902,3,3,31,21,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-226,2000,23.2,1064,979,85,19,3,121,42,11,5,5,0,0,710,122,232,174,722,65,61,4,857,1,27,15,19,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-250,1996,24.9,1325,1267,58,39,0,163,63,7,0,0,0,0,1035,109,181,89,1182,34,3,5,1183,3,13,23,29,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-201,1989,7.6,216,209,7,7,0,42,4,2,0,0,0,0,133,42,41,26,154,23,0,0,171,0,6,10,4,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-332,1996,26.7,1548,1494,54,43,1,125,86,3,0,0,0,0,1055,134,359,146,1242,94,11,6,1293,6,41,15,20,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-332,1996,2.1,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-007,1995,0.8,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-173,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-013,1993,0.0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-287,1991,10.1,216,197,19,0,0,79,1,4,0,0,0,0,101,60,55,21,108,24,1,17,156,1,3,3,10,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-016,1988,2.0,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-268,1990,29.4,1851,1825,26,23,2,280,44,11,0,0,0,0,1349,257,245,233,1446,100,3,15,1572,5,30,37,40,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-218,1994,27.1,1400,1372,28,24,2,243,29,6,0,0,0,0,920,205,275,306,926,107,3,10,1103,9,28,36,37,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-211,1996,18.3,857,838,19,15,0,131,26,6,0,0,0,0,674,87,96,99,725,20,4,0,757,1,12,18,14,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-310,2002,1.0,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-048,1998,1.5,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-235,1989,6.5,352,289,63,9,0,47,12,19,4,2,1,0,185,67,100,223,55,15,50,1,261,0,9,15,7,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-114,1997,22.7,1416,1148,268,43,4,153,48,105,42,13,16,2,751,266,399,1044,116,59,183,4,1020,9,22,28,59,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-316,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-213,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-220,1986,16.2,780,600,180,26,0,92,61,104,18,5,11,1,328,148,304,274,353,13,136,3,535,1,27,14,25,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-282,1996,27.1,1803,1710,93,54,2,186,25,8,0,0,0,0,1430,143,230,291,1376,56,38,9,1582,4,21,24,27,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-280,1998,0.3,14,14,0,0,0,2,0,0,0,0,0,0,7,3,4,2,10,1,0,0,8,0,0,0,1,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-031,1990,17.2,361,345,16,1,0,123,10,22,0,0,0,0,196,98,67,52,230,24,8,10,234,0,8,11,28,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-170,2000,2.2,109,99,10,4,0,4,6,0,0,0,0,0,91,7,11,17,84,2,6,0,98,0,2,0,1,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-302,1998,17.5,898,861,37,10,3,109,15,17,11,4,1,0,768,82,48,91,785,12,7,0,756,4,12,34,27,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-287,2002,17.5,729,608,121,43,4,118,53,39,68,23,36,3,454,83,192,102,587,13,5,11,515,1,18,27,21,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-323,1992,13.4,699,544,155,8,0,70,11,33,0,0,0,0,362,159,178,75,419,42,147,4,501,3,18,22,23,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-087,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-210,1995,30.2,1006,887,119,54,1,147,93,48,63,31,10,9,513,126,367,79,805,80,1,2,709,6,33,15,22,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-011,1989,16.6,1041,998,43,35,4,157,25,2,0,0,0,0,776,120,145,138,842,41,8,4,896,2,10,26,24,Matches
