,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-330,1996,14.3,547,532,15,2,3,93,22,23,4,2,2,0,370,80,97,438,69,26,8,0,414,2,10,15,24,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-242,1991,23.5,1420,1399,21,19,0,104,29,2,0,0,0,0,1083,123,214,155,1165,63,2,4,1208,2,24,23,16,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-052,1999,12.8,787,765,22,19,1,72,9,0,0,0,0,0,674,45,68,71,661,24,2,4,726,1,5,1,6,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-348,1987,26.2,1556,1293,263,73,2,178,122,30,3,1,2,0,776,312,468,323,888,109,187,5,1189,2,58,22,27,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-060,1993,32.0,866,545,321,90,0,37,15,0,0,0,0,0,443,31,392,52,632,0,0,135,627,2,17,5,1,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-105,1992,1.0,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-308,1994,3.3,62,53,9,0,0,20,0,1,0,0,0,0,36,13,13,11,37,7,0,0,40,0,2,1,2,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-117,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-029,1992,24.9,986,923,63,6,4,196,13,25,1,0,0,0,744,145,97,176,757,33,13,3,770,2,10,36,58,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-336,1994,25.7,1486,1248,238,129,6,224,110,29,99,44,39,0,903,197,386,1089,285,70,9,4,1190,4,23,21,25,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-156,2000,1.2,36,34,2,0,0,14,1,0,0,0,0,0,16,13,7,4,18,5,0,2,27,0,0,1,1,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-210,2001,1.4,81,79,2,0,0,19,0,1,0,0,0,0,67,9,5,69,8,1,2,0,67,0,0,1,5,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-207,1994,5.0,192,148,44,4,0,20,3,0,0,0,0,0,114,9,69,23,134,0,0,31,152,0,4,1,0,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-255,1990,18.5,838,799,39,33,1,113,28,7,3,1,2,0,641,91,106,91,699,30,3,2,706,5,7,25,14,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,it Serie A,32-140,1988,2.0,87,76,11,1,0,6,0,3,1,0,0,0,57,15,15,68,9,0,9,0,73,0,0,0,2,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-062,1997,4.3,170,157,13,13,0,41,4,1,0,0,0,0,128,13,29,38,120,9,0,2,139,0,5,4,4,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-304,1989,32.0,1144,831,313,72,0,95,35,0,0,0,0,0,680,46,418,172,768,0,0,173,901,3,24,6,1,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-097,1996,18.3,883,834,49,7,4,137,36,59,26,8,4,3,660,102,121,748,94,13,16,7,712,3,14,21,40,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-109,2001,0.9,17,17,0,0,0,3,0,1,0,0,0,0,10,4,3,7,8,2,0,0,8,0,1,0,1,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-270,1987,28.2,1121,1075,46,15,8,218,25,37,1,1,0,0,870,146,105,795,250,45,11,6,857,10,15,43,54,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-166,1993,9.2,183,177,6,2,0,35,3,5,0,0,0,0,138,26,19,28,136,11,1,1,126,1,2,12,7,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-336,1999,4.5,126,126,0,0,0,24,4,2,0,0,0,0,84,13,29,13,93,12,0,1,98,0,5,3,2,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-346,1996,7.4,430,359,71,9,0,53,11,25,1,0,1,0,295,89,46,21,327,14,61,0,341,0,11,10,14,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-314,1989,22.3,604,587,17,1,5,119,7,44,1,0,0,0,434,85,85,67,493,15,3,7,451,7,5,13,18,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-100,1997,33.0,1125,780,345,106,2,85,22,0,0,0,0,0,482,65,578,94,814,1,0,167,772,2,20,3,3,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-241,1994,30.7,1753,1438,315,34,0,174,23,100,1,0,0,0,971,358,424,1322,75,53,280,2,1332,3,22,38,67,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-316,1997,0.4,5,3,2,1,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,5,0,0,0,0,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-007,1994,19.7,1069,777,292,46,0,126,44,73,65,22,33,7,449,242,378,742,73,47,181,1,716,6,23,25,37,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-125,1992,15.8,818,670,148,5,2,85,12,20,0,0,0,0,480,172,166,53,557,44,143,1,648,0,7,18,23,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-297,1989,1.5,34,32,2,0,0,12,0,1,0,0,0,0,16,10,8,3,18,6,0,0,25,1,0,1,1,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-081,1994,0.6,18,18,0,0,0,2,0,2,0,0,0,0,4,10,4,6,5,3,0,3,8,0,0,1,2,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-259,1997,14.3,281,277,4,0,0,92,4,3,0,0,0,0,163,76,42,48,176,20,0,19,193,1,11,10,14,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-078,2002,3.8,138,110,28,1,0,14,0,10,0,0,0,0,70,33,35,14,84,8,27,0,94,0,4,10,6,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-229,1991,21.1,588,571,17,4,0,113,10,17,0,0,0,0,470,75,43,36,501,24,2,7,465,1,6,24,19,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-169,1994,8.5,544,512,32,7,0,32,6,3,0,0,0,0,462,49,33,48,455,10,25,1,503,1,7,6,7,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-246,1991,32.8,2360,2039,321,45,4,209,75,67,0,0,0,0,1386,445,529,183,1769,91,276,6,1864,6,38,59,63,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-137,1992,1.1,38,37,1,0,0,5,0,1,0,0,0,0,28,2,8,5,27,3,1,0,28,0,1,1,0,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-243,1989,20.5,1720,1560,160,31,4,100,9,18,0,0,0,0,1274,228,218,145,1343,72,129,7,1499,4,18,30,33,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-339,1986,3.2,240,218,22,8,0,31,5,2,0,0,0,0,169,35,36,204,9,7,14,0,202,0,5,5,2,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-232,1986,6.8,139,128,11,0,1,47,4,5,0,0,0,0,86,37,16,3,117,5,1,3,91,0,5,3,9,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-017,2000,26.0,1667,1632,35,30,0,171,68,3,0,0,0,0,1330,83,254,111,1419,74,2,6,1461,3,37,20,10,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-062,1989,24.4,1446,1383,63,52,3,180,74,10,1,1,0,0,980,191,275,227,1142,61,2,2,1176,6,21,44,25,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-075,1992,30.0,1147,776,371,86,0,100,17,0,0,0,0,0,553,51,543,109,828,0,2,144,867,1,19,6,2,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-282,2001,1.4,51,49,2,2,0,9,0,3,0,0,0,0,38,9,4,2,43,5,0,1,38,1,1,2,2,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-032,2000,5.8,208,196,12,3,1,47,3,6,6,3,1,0,142,31,35,163,22,10,3,2,169,0,2,6,5,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-335,1992,15.8,322,295,27,0,3,80,1,16,0,0,0,0,227,64,31,21,264,14,1,11,228,0,2,19,19,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-262,1997,23.3,943,850,93,11,4,167,65,88,59,16,24,2,584,155,204,699,184,25,21,3,662,5,20,30,53,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-016,1994,7.1,382,375,7,7,0,29,4,0,0,0,0,0,315,30,37,45,310,18,0,0,343,0,2,7,3,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-126,2001,1.0,36,28,8,1,0,2,0,0,0,0,0,0,18,1,17,3,23,0,0,9,22,0,2,0,0,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-254,1994,18.9,1062,1037,25,25,0,175,22,0,0,0,0,0,875,107,80,210,799,25,0,4,964,1,8,14,18,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-312,2000,17.8,1269,1144,125,12,0,115,15,46,0,0,0,0,980,191,98,980,132,27,113,4,1125,0,14,23,18,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-020,1998,26.8,1358,1160,198,9,4,186,27,82,7,3,0,0,817,263,278,226,891,46,182,2,1021,4,17,46,58,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-020,1998,2.0,88,71,17,1,0,8,0,3,0,0,0,0,46,16,26,15,56,1,16,0,62,0,1,1,3,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-245,2002,0.6,40,40,0,0,0,9,1,0,0,0,0,0,34,4,2,32,6,0,0,0,36,0,1,0,1,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-248,1991,13.3,465,439,26,23,0,32,17,0,0,0,0,0,289,41,135,52,377,24,3,1,357,3,10,5,7,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-051,1995,11.2,262,250,12,1,1,79,4,10,2,2,0,0,177,54,31,54,179,10,2,6,190,0,6,9,9,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-050,1993,27.0,999,820,179,2,0,134,14,46,0,0,0,0,557,227,215,52,718,38,177,4,779,2,17,19,49,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-286,1989,7.2,292,265,27,8,0,59,30,18,13,10,1,1,143,59,90,240,15,19,6,3,198,1,7,9,14,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-058,1988,12.8,658,525,133,19,0,67,8,17,0,0,0,0,369,128,161,448,55,36,114,0,493,2,10,18,29,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Marseille,fr Ligue 1,22-092,1999,15.1,848,815,33,26,0,73,27,0,0,0,0,0,664,67,117,70,726,33,6,3,741,0,12,7,12,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-115,1997,7.0,420,345,75,7,0,43,12,26,0,0,0,0,267,86,67,301,29,15,68,0,344,2,4,7,11,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-326,2002,1.6,70,65,5,2,0,10,3,0,0,0,0,0,43,6,21,7,55,5,3,0,51,0,1,1,4,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-003,1990,15.0,875,684,191,13,1,98,6,37,0,0,0,0,516,149,210,26,635,26,178,2,670,1,14,21,33,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-033,1996,30.2,1557,1397,160,40,9,233,67,60,68,25,37,5,1106,199,252,148,1306,33,52,7,1217,10,14,46,52,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-167,1997,11.6,804,766,38,26,0,89,18,0,0,0,0,0,669,52,83,157,607,22,12,3,709,0,12,12,16,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-235,1993,30.2,452,372,80,0,4,84,0,5,2,0,0,0,331,90,31,292,100,20,1,20,344,3,8,21,18,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-139,1993,10.2,518,497,21,18,0,46,15,0,0,0,0,0,352,50,116,43,415,29,3,3,438,1,7,3,7,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-139,1993,10.7,594,569,25,20,0,37,9,2,0,0,0,0,473,37,84,56,500,17,4,4,532,0,10,6,3,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-258,1996,14.3,300,290,10,1,0,101,9,10,0,0,0,0,183,65,52,54,180,18,0,7,221,3,6,5,11,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-146,1994,27.2,1127,1094,33,17,3,240,18,17,1,0,0,1,771,177,179,838,145,78,12,9,883,10,12,24,48,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-239,1993,25.2,1175,984,191,55,1,115,24,20,0,0,0,0,744,168,263,822,154,56,129,2,946,3,31,18,26,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-059,1996,2.8,202,199,3,3,0,16,2,0,0,0,0,0,167,13,22,42,147,8,0,1,178,1,2,1,2,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-118,2000,1.0,34,25,9,0,0,6,0,1,0,0,0,0,10,9,15,1,19,3,9,0,13,0,1,1,2,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-173,2000,4.8,383,318,65,5,0,43,4,14,0,0,0,0,256,55,72,293,10,11,60,1,309,0,9,9,9,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-300,1995,16.2,792,717,75,25,1,156,32,31,40,9,7,4,541,93,158,128,635,11,9,5,590,11,17,27,29,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-304,1985,3.0,165,127,38,1,0,23,5,7,0,0,0,0,60,41,64,12,101,13,37,0,116,1,4,1,9,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-080,1997,28.8,1697,1663,34,17,4,279,34,42,2,2,0,0,1235,239,223,232,1391,30,15,4,1404,5,21,34,55,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-056,1989,0.3,11,11,0,0,0,4,0,1,0,0,0,0,5,5,1,1,8,1,0,0,10,0,0,0,1,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-027,1997,13.1,418,403,15,3,0,115,21,46,3,1,0,0,248,90,80,107,276,13,7,1,286,3,20,6,34,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-144,1993,14.5,624,548,76,19,0,126,17,16,40,12,9,8,438,87,99,88,486,25,4,4,508,2,6,12,19,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-144,1993,0.5,26,26,0,0,1,7,1,0,0,0,0,0,18,4,4,4,17,2,0,0,22,0,0,2,0,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-342,1998,10.3,477,419,58,9,4,101,14,16,26,3,12,3,334,55,88,87,338,17,20,0,346,0,8,18,13,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-180,1989,14.4,290,286,4,1,0,101,4,6,0,0,0,0,159,63,68,39,175,26,0,11,186,2,5,10,14,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-140,1997,21.6,626,623,3,1,3,135,7,18,0,0,0,0,452,90,84,54,516,31,2,5,468,1,11,15,30,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-248,1999,1.0,19,9,10,2,0,2,2,2,2,0,1,1,4,6,9,10,1,2,6,0,10,0,1,1,2,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-320,1987,21.3,1136,947,189,38,1,112,30,32,1,1,0,0,709,189,238,134,794,41,150,2,932,4,19,29,24,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-041,1995,0.9,48,33,15,1,0,2,0,4,3,0,2,1,20,11,17,35,0,1,11,0,31,0,0,0,4,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-115,2000,22.3,636,625,11,10,2,138,3,6,0,0,0,0,359,97,180,99,412,74,1,7,420,2,10,13,34,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-122,2001,12.6,333,325,8,3,1,66,5,25,0,0,0,0,236,44,53,52,260,13,5,0,237,0,11,11,21,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-162,1994,11.7,543,432,111,11,1,67,5,15,0,0,0,0,320,97,126,302,107,25,100,4,425,0,7,12,24,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-165,1998,28.5,1018,914,104,27,2,153,71,62,53,37,12,2,626,161,231,116,817,47,13,5,722,8,18,37,36,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-341,1991,23.7,704,672,32,22,1,115,23,4,0,0,0,0,448,68,188,79,497,72,10,1,549,2,21,9,7,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-250,1989,3.6,127,121,6,1,0,14,8,9,4,0,4,0,83,20,24,10,111,4,1,0,92,0,3,0,5,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-103,1991,14.8,825,781,44,37,0,69,25,4,0,0,0,0,586,60,179,57,704,34,7,5,681,4,10,6,5,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-047,1992,2.2,115,109,6,3,0,17,4,2,3,0,3,0,71,17,27,7,88,11,0,2,85,1,2,4,6,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-282,1988,23.6,911,848,63,13,1,103,8,22,0,0,0,0,614,119,178,108,638,69,50,5,733,2,25,10,19,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-154,1996,26.0,1184,1135,49,28,1,175,35,28,19,8,4,4,910,94,180,987,147,30,2,1,989,2,21,21,19,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-015,1999,28.6,2010,1910,100,51,2,203,52,14,0,0,0,0,1513,218,279,1651,243,49,29,7,1796,8,17,32,32,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-174,1996,15.2,967,789,178,26,3,106,20,41,27,2,23,1,540,210,217,665,142,21,125,2,737,4,30,13,39,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-032,1991,0.7,42,40,2,2,0,3,0,0,0,0,0,0,35,5,2,17,24,1,0,0,39,0,1,0,0,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-208,1993,7.9,162,149,13,1,1,43,0,7,0,0,0,0,112,34,16,27,117,7,2,2,114,0,1,5,12,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-290,1991,24.5,869,828,41,37,0,150,20,5,2,1,1,0,619,100,150,158,622,59,0,3,733,2,14,17,21,Matches
223,Cristian Battocchio\Cristian-Battocchio,it ITA,MFFW,Brest,fr Ligue 1,29-077,1992,3.9,209,189,20,7,1,18,9,7,12,7,2,0,152,22,35,20,177,8,1,2,168,1,5,2,2,Matches
224,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-330,1990,30.0,1315,1015,300,101,0,83,30,0,0,0,0,0,831,37,447,183,920,1,0,173,1029,2,35,4,2,Matches
225,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33-116,1988,11.9,668,647,21,19,0,134,22,2,0,0,0,0,474,79,115,96,522,28,1,3,579,1,8,7,13,Matches
226,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21-270,1999,25.3,927,868,59,16,0,209,22,17,3,2,1,0,640,130,157,81,745,41,12,13,702,4,14,26,37,Matches
227,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,es La Liga,25-299,1995,3.1,55,49,6,0,0,17,2,2,3,2,0,1,31,10,14,12,28,7,0,0,32,0,2,0,1,Matches
228,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32-345,1988,27.7,1633,1577,56,51,3,142,49,2,0,0,0,0,1302,106,225,280,1239,71,5,6,1468,2,10,15,10,Matches
229,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,24-250,1996,0.4,13,12,1,0,0,3,0,0,0,0,0,0,5,4,4,1,6,2,0,1,6,0,2,1,1,Matches
230,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,27-005,1994,21.5,555,534,21,0,1,143,13,36,0,0,0,0,374,109,72,44,437,27,8,5,426,1,3,17,20,Matches
231,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,25-099,1996,26.9,1171,1116,55,49,0,109,28,8,0,0,0,0,941,88,142,97,999,35,6,4,1030,3,11,14,12,Matches
232,Sheraldo Becker\Sheraldo-Becker,nl NED,FWMF,Union Berlin,de Bundesliga,26-078,1995,11.9,315,311,4,0,1,56,12,47,0,0,0,0,175,68,72,45,236,21,2,4,197,2,10,11,17,Matches
233,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,de Bundesliga,24-034,1997,14.2,636,529,107,14,0,78,11,16,0,0,0,0,402,122,112,43,472,20,93,0,492,2,14,23,24,Matches
234,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,25-016,1996,30.9,1835,1750,85,40,1,226,27,0,0,0,0,0,1293,169,373,301,1308,127,45,7,1550,2,32,20,17,Matches
235,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,eng Premier League,24-010,1997,3.8,180,179,1,0,0,27,2,4,0,0,0,0,153,17,10,15,159,4,1,1,149,0,1,5,10,Matches
236,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,36-009,1985,8.0,185,180,5,4,1,36,1,2,0,0,0,0,123,32,30,14,144,15,1,1,137,1,1,7,1,Matches
237,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,de Bundesliga,29-186,1991,0.9,56,39,17,3,0,9,5,1,0,0,0,0,17,25,14,0,37,3,14,0,41,0,1,1,2,Matches
238,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,de Bundesliga,18-193,2002,0.0,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,1,2,1,0,0,4,0,0,0,0,Matches
239,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,29-106,1992,6.6,151,135,16,0,1,29,0,4,0,0,0,0,102,34,15,10,122,9,3,2,108,1,3,10,5,Matches
240,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,27-090,1994,26.9,1282,1246,36,29,2,188,25,11,1,0,0,0,1028,117,137,159,1058,33,5,3,1123,1,19,10,25,Matches
241,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,29-247,1991,12.7,495,465,30,20,0,72,11,2,0,0,0,0,284,78,133,70,330,48,10,0,386,5,10,5,7,Matches
242,Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,31-020,1990,7.1,302,284,18,0,0,53,9,41,0,0,0,0,178,69,55,21,254,5,17,3,205,3,5,11,19,Matches
243,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22-305,1998,20.0,696,659,37,7,1,129,30,31,27,12,5,3,449,113,134,145,495,32,3,4,536,4,17,12,33,Matches
244,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,26-040,1995,22.0,1235,1076,159,9,2,175,13,50,0,0,0,0,799,278,158,106,900,58,150,3,1018,2,15,29,36,Matches
245,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17-303,2003,17.4,982,965,17,12,2,151,29,21,0,0,0,0,795,105,82,124,807,26,1,5,815,4,15,25,28,Matches
